Review_ID,Product_Name,Review_Text,Label,Review_Date,Reviewer_Location,Review_Word_Count,Review_Char_Count,Sentiment_Polarity,Review_DayOfWeek,Reviewer_City,Reviewer_Country,Label_Encoded,Is_Duplicate_Review
1,Smartphone Case,I can't believe how amazing it is. An unbelievable product that exceeds all standards.,Fake,2025-08-12,"Seattle, USA",14,86,0.17500000000000004,Tuesday,Seattle,USA,0,True
2,Bluetooth Speaker,Exceeded my expectations in every way. The quality is outstanding and the performance is reliable.,Genuine,2025-12-14,"Denver, USA",15,98,0.5,Sunday,Denver,USA,1,True
3,Smartwatch,So flawless it defies logic. This product is perfect in every aspect.,Fake,2025-04-08,"Boston, USA",12,69,1.0,Tuesday,Boston,USA,0,True
4,Gaming Mouse,Exceeded my expectations in every way. I'm really satisfied with my purchase.,Genuine,2025-04-11,"New York, USA",12,77,0.5,Friday,New York,USA,1,True
5,Bluetooth Speaker,I'm really satisfied with my purchase. I'm really satisfied with my purchase.,Genuine,2025-08-29,"Austin, USA",12,77,0.5,Friday,Austin,USA,1,True
6,Bluetooth Speaker,"Best purchase ever, you'll regret not buying it immediately! An unbelievable product that exceeds all standards.",Fake,2025-04-18,"Seattle, USA",16,112,0.375,Friday,Seattle,USA,0,True
7,Noise Cancelling Earbuds,Absolutely love this product! The quality is outstanding and the performance is reliable.,Genuine,2025-12-04,"Tokyo, Japan",13,89,0.5625,Thursday,Tokyo,Japan,1,True
8,Bluetooth Speaker,So flawless it defies logic. I can't believe how amazing it is.,Fake,2025-12-24,"Berlin, Germany",12,63,0.8,Wednesday,Berlin,Germany,0,True
9,Wireless Headphones,The quality is outstanding and the performance is reliable. Absolutely love this product!,Genuine,2025-08-05,"Tokyo, Japan",13,89,0.5625,Tuesday,Tokyo,Japan,1,True
10,Gaming Mouse,So flawless it defies logic. This product is perfect in every aspect.,Fake,2025-04-09,"Miami, USA",12,69,1.0,Wednesday,Miami,USA,0,True
11,Bluetooth Speaker,I'm really satisfied with my purchase. Absolutely love this product!,Genuine,2025-12-04,"San Francisco, USA",10,68,0.5625,Thursday,San Francisco,USA,1,True
12,Gaming Mouse,An unbelievable product that exceeds all standards. I can't believe how amazing it is.,Fake,2025-07-18,"Denver, USA",14,86,0.17500000000000004,Friday,Denver,USA,0,True
13,Wireless Headphones,Works exactly as advertised. The quality is outstanding and the performance is reliable.,Genuine,2025-04-22,"Paris, France",13,88,0.375,Tuesday,Paris,France,1,True
14,Smartphone Case,I'm really satisfied with my purchase. Works exactly as advertised.,Genuine,2025-05-28,"Denver, USA",10,67,0.375,Wednesday,Denver,USA,1,True
15,Laptop Stand,Exceeded my expectations in every way. Works exactly as advertised.,Genuine,2025-05-30,"Denver, USA",10,67,0.25,Friday,Denver,USA,1,True
16,Noise Cancelling Earbuds,An unbelievable product that exceeds all standards. So flawless it defies logic.,Fake,2025-01-15,"Chicago, USA",12,80,0.375,Wednesday,Chicago,USA,0,True
17,Smartwatch,This product is perfect in every aspect. This product is perfect in every aspect.,Fake,2025-04-14,"San Francisco, USA",14,81,1.0,Monday,San Francisco,USA,0,True
18,Eco-friendly Water Bottle,Works exactly as advertised. I'm really satisfied with my purchase.,Genuine,2025-09-20,"San Francisco, USA",10,67,0.375,Saturday,San Francisco,USA,1,True
19,Wireless Headphones,An unbelievable product that exceeds all standards. An unbelievable product that exceeds all standards.,Fake,2025-11-16,"San Francisco, USA",14,103,-0.25,Sunday,San Francisco,USA,0,True
20,Noise Cancelling Earbuds,This product is perfect in every aspect. This product is perfect in every aspect.,Fake,2025-07-11,"New York, USA",14,81,1.0,Friday,New York,USA,0,True
21,Smartwatch,This product is perfect in every aspect. This product is perfect in every aspect.,Fake,2025-05-10,"New York, USA",14,81,1.0,Saturday,New York,USA,0,True
22,Bluetooth Speaker,"So flawless it defies logic. Best purchase ever, you'll regret not buying it immediately!",Fake,2025-09-29,"New York, USA",14,89,1.0,Monday,New York,USA,0,True
23,Laptop Stand,This product is perfect in every aspect. This product is perfect in every aspect.,Fake,2025-10-04,"New York, USA",14,81,1.0,Saturday,New York,USA,0,True
24,Laptop Stand,The quality is outstanding and the performance is reliable. Exceeded my expectations in every way.,Genuine,2025-03-26,"San Francisco, USA",15,98,0.5,Wednesday,San Francisco,USA,1,True
25,Fitness Tracker,"I can't believe how amazing it is. Best purchase ever, you'll regret not buying it immediately!",Fake,2025-12-07,"Chicago, USA",16,95,0.8,Sunday,Chicago,USA,0,True
26,Smartphone Case,The quality is outstanding and the performance is reliable. I'm really satisfied with my purchase.,Genuine,2025-07-21,"New York, USA",15,98,0.5,Monday,New York,USA,1,True
27,Eco-friendly Water Bottle,"Best purchase ever, you'll regret not buying it immediately! So flawless it defies logic.",Fake,2025-11-12,"Chicago, USA",14,89,1.0,Wednesday,Chicago,USA,0,True
28,Bluetooth Speaker,So flawless it defies logic. So flawless it defies logic.,Fake,2025-04-29,"Los Angeles, USA",10,57,1.0,Tuesday,Los Angeles,USA,0,True
29,Smartphone Case,So flawless it defies logic. An unbelievable product that exceeds all standards.,Fake,2025-12-13,"New York, USA",12,80,0.375,Saturday,New York,USA,0,True
30,Fitness Tracker,An unbelievable product that exceeds all standards. An unbelievable product that exceeds all standards.,Fake,2025-10-25,"Seattle, USA",14,103,-0.25,Saturday,Seattle,USA,0,True
31,Noise Cancelling Earbuds,Exceeded my expectations in every way. Exceeded my expectations in every way.,Genuine,2025-10-17,"Los Angeles, USA",12,77,0.0,Friday,Los Angeles,USA,1,True
32,Gaming Mouse,I can't believe how amazing it is. An unbelievable product that exceeds all standards.,Fake,2025-12-18,"Berlin, Germany",14,86,0.17500000000000004,Thursday,Berlin,Germany,0,True
33,Smartwatch,Absolutely love this product! I'm really satisfied with my purchase.,Genuine,2025-07-21,"London, UK",10,68,0.5625,Monday,London,UK,1,True
34,Smartwatch,So flawless it defies logic. An unbelievable product that exceeds all standards.,Fake,2025-08-10,"Berlin, Germany",12,80,0.375,Sunday,Berlin,Germany,0,True
35,Smartphone Case,An unbelievable product that exceeds all standards. This product is perfect in every aspect.,Fake,2025-09-04,"Denver, USA",14,92,0.375,Thursday,Denver,USA,0,True
36,Bluetooth Speaker,Absolutely love this product! Exceeded my expectations in every way.,Genuine,2025-08-22,"Los Angeles, USA",10,68,0.625,Friday,Los Angeles,USA,1,True
37,Portable Charger,Absolutely love this product! I'm really satisfied with my purchase.,Genuine,2025-09-14,"San Francisco, USA",10,68,0.5625,Sunday,San Francisco,USA,1,True
38,Bluetooth Speaker,"So flawless it defies logic. Best purchase ever, you'll regret not buying it immediately!",Fake,2025-11-04,"New York, USA",14,89,1.0,Tuesday,New York,USA,0,True
39,Bluetooth Speaker,"Best purchase ever, you'll regret not buying it immediately! I can't believe how amazing it is.",Fake,2025-06-21,"Paris, France",16,95,0.8,Saturday,Paris,France,0,True
40,Smartwatch,Exceeded my expectations in every way. The quality is outstanding and the performance is reliable.,Genuine,2025-08-05,"Austin, USA",15,98,0.5,Tuesday,Austin,USA,1,True
41,Smartwatch,I can't believe how amazing it is. An unbelievable product that exceeds all standards.,Fake,2025-05-06,"Boston, USA",14,86,0.17500000000000004,Tuesday,Boston,USA,0,True
42,Laptop Stand,I'm really satisfied with my purchase. Absolutely love this product!,Genuine,2025-10-28,"Tokyo, Japan",10,68,0.5625,Tuesday,Tokyo,Japan,1,True
